687,"Bend","Mars",3.7,-22.4,332.26,"Planetocentric  +East  0 - 360","Crater, craters",
693,"Bentham","Mars",11.36,-55.78,319.45,"Planetocentric  +East  0 - 360","Crater, craters",
694,"Bentong","Mars",10.32,-22.31,340.96,"Planetocentric  +East  0 - 360","Crater, craters",
705,"Bernard","Mars",128.1,-23.24,205.79,"Planetocentric  +East  0 - 360","Crater, craters",
712,"Berseba","Mars",36.83,-4.4,322.4,"Planetocentric  +East  0 - 360","Crater, craters",
14184,"Beruri","Mars",45.12,5.27,81.24,"Planetocentric  +East  0 - 360","Crater, craters",
15170,"Betio","Mars",32.44,-23.13,281.35,"Planetocentric  +East  0 - 360","Crater, craters",
730,"Bhor","Mars",5.73,41.75,134.53,"Planetocentric  +East  0 - 360","Crater, craters",
735,"Bianchini","Mars",70.71,-63.85,264.71,"Planetocentric  +East  0 - 360","Crater, craters",
737,"Biblis Patera","Mars",53.65,2.36,236.18,"Planetocentric  +East  0 - 360","Patera, paterae",
14308,"Biblis Tholus","Mars",168.6,2.52,235.62,"Planetocentric  +East  0 - 360","Tholus, tholi",
741,"Bigbee","Mars",20.86,-24.78,325.25,"Planetocentric  +East  0 - 360","Crater, craters",
751,"Bira","Mars",2.7,25.1,314.46,"Planetocentric  +East  0 - 360","Crater, craters",
757,"Bise","Mars",9.21,20.22,303.17,"Planetocentric  +East  0 - 360","Crater, craters",
758,"Bison","Mars",15.28,-26.31,330.85,"Planetocentric  +East  0 - 360","Crater, craters",
760,"Bjerknes","Mars",88.64,-43.01,171.48,"Planetocentric  +East  0 - 360","Crater, craters",
771,"Bland","Mars",6.63,18.3,108.76,"Planetocentric  +East  0 - 360","Crater, craters",
774,"Bled","Mars",7.69,21.58,328.54,"Planetocentric  +East  0 - 360","Crater, craters",
777,"Blitta","Mars",12.95,-25.9,339.04,"Planetocentric  +East  0 - 360","Crater, craters",
780,"Blois","Mars",11.58,23.6,304.15,"Planetocentric  +East  0 - 360","Crater, craters",
781,"Bluff","Mars",6.75,23.47,110.03,"Planetocentric  +East  0 - 360","Crater, craters",
15149,"Blunck","Mars",66.49,-27.23,323.1,"Planetocentric  +East  0 - 360","Crater, craters",
791,"Boeddicker","Mars",107.12,-14.82,162.49,"Planetocentric  +East  0 - 360","Crater, craters",
14500,"Bogia","Mars",37.68,-44.31,83.27,"Planetocentric  +East  0 - 360","Crater, craters",
795,"Bogra","Mars",21.31,-24.16,331.2,"Planetocentric  +East  0 - 360","Crater, craters",
801,"Bok","Mars",7.34,20.58,328.4,"Planetocentric  +East  0 - 360","Crater, craters",
802,"Bole","Mars",8.54,25.35,306.01,"Planetocentric  +East  0 - 360","Crater, craters",
807,"Bombala","Mars",37.14,-27.6,106.13,"Planetocentric  +East  0 - 360","Crater, craters",
811,"Bond","Mars",104.69,-32.79,324.06,"Planetocentric  +East  0 - 360","Crater, craters",
814,"Bonestell","Mars",40.67,42,329.61,"Planetocentric  +East  0 - 360","Crater, craters",
14150,"Boola","Mars",17.25,81.26,254.81,"Planetocentric  +East  0 - 360","Crater, craters",
14185,"Bopolu","Mars",18.89,-2.96,353.7,"Planetocentric  +East  0 - 360","Crater, craters",
819,"Bor","Mars",4.28,18.17,326.32,"Planetocentric  +East  0 - 360","Crater, craters",
821,"Bordeaux","Mars",2.01,23.13,311.11,"Planetocentric  +East  0 - 360","Crater, craters",
6964,"Boreales Scopuli","Mars",1.13,88.88,269.84,"Planetocentric  +East  0 - 360","Scopulus, scopuli",
825,"Boreosyrtis","Mars",0,54.68,70,"Planetocentric  +East  0 - 360","Albedo Feature",
6962,"Boreum Cavus","Mars",62.13,84.64,339.85,"Planetocentric  +East  0 - 360","Cavus, cavi",
830,"Boru","Mars",10.87,-24.34,332.13,"Planetocentric  +East  0 - 360","Crater, craters",
834,"Bosporos Planum","Mars",729.58,-33.87,295.51,"Planetocentric  +East  0 - 360","Planum, plana",
835,"Bosporos Rupes","Mars",531.42,-42.74,302.45,"Planetocentric  +East  0 - 360","Rupes, rupēs",
840,"Bouguer","Mars",107.78,-18.46,27.27,"Planetocentric  +East  0 - 360","Crater, craters",
842,"Boulia","Mars",9.99,-22.89,111.32,"Planetocentric  +East  0 - 360","Crater, craters",
853,"Bozkir","Mars",79.89,-44.14,327.82,"Planetocentric  +East  0 - 360","Crater, craters",
